ID,Date Reported,Date Occured,Area Name,Victim Age,Victim Sex,Victim Descent,Location,Latitude,Longitude,Criminal Activities,Criminal Activities grped,Criminal Activities re-grped,
972981,2014-09-06,2014-09-05,Central,31,F,B,1400 S  FLOWER                       ST,34.0388,-118.2676,Assault,Bodily Harm,Violent Crimes,0.995292846
973151,2014-02-01,2014-02-01,Newton,37,M,H,52ND                         ST,33.9953,-118.2652,Theft,Property Crime,Non-Violent Crimes,0.996128377
973178,2014-11-17,2014-11-17,Central,26,M,H,600 S  SPRING                       ST,34.046,-118.2509,Battery Crime,Bodily Harm,Violent Crimes,0.990748186
973402,2014-11-01,2014-11-01,Rampart,35,F,H,WILLOW BROOK,34.0895,-118.2917,Battery Crime,Bodily Harm,Violent Crimes,0.992578627
973425,2014-12-24,2014-12-24,Mission,25,M,H,13600    REMINGTON                    ST,34.2509,-118.4303,Battery Crime,Bodily Harm,Violent Crimes,0.992812481
973536,2014-09-21,2014-09-21,Central,43,F,H,MAPLE,34.0383,-118.254,Assault,Bodily Harm,Violent Crimes,0.99893573
973538,2014-11-13,2014-11-13,Olympic,21,F,H,1800 S  WESTERN                      AV,34.0418,-118.309,Robbery,Robbery,Violent Crimes,0.999425675
973661,2014-05-12,2014-05-12,Newton,58,M,H,1300 E  55TH                         ST,33.993,-118.2521,Assault,Bodily Harm,Violent Crimes,0.996050505
973717,2014-03-31,2014-03-27,77th Street,36,F,B,6000 S  WESTERN                      AV,33.9856,-118.3089,Theft,Property Crime,Non-Violent Crimes,0.994494677
973876,2014-07-22,2014-07-22,Newton,51,F,B,7TH                          ST,34.0382,-118.2432,Battery Crime,Bodily Harm,Violent Crimes,0.997469964
