ID,Date Reported,Date Occured,Area Name,Victim Age,Victim Sex,Victim Descent,Location,Latitude,Longitude,Criminal Activities,Criminal Activities grped,Criminal Activities re-grped,
1264780,2016-03-30,2016-03-29,Van Nuys,19,F,H,DELANO                       ST,34.1827,-118.4444,Assault,Bodily Harm,Violent Crimes,0.996204224
1264890,2016-03-20,2016-03-20,Hollenbeck,46,M,H,3100    WABASH                       AV,34.0527,-118.1969,Battery Crime,Bodily Harm,Violent Crimes,0.996980051
1265009,2016-04-12,2016-03-22,Devonshire,65,F,W,11900    SALEM                        DR,34.2865,-118.5052,Theft,Property Crime,Non-Violent Crimes,0.997202102
1265134,2016-04-16,2016-04-15,Hollywood,63,M,O,1600    VINE                         ST,34.0998,-118.3267,Theft,Property Crime,Non-Violent Crimes,0.992746756
1265203,2016-11-28,2016-11-27,Southeast,42,M,H,129TH                        ST,33.9154,-118.2827,Theft,Property Crime,Non-Violent Crimes,0.998161593
1265582,2016-10-25,2016-10-13,Foothill,44,M,O,7700    CAMELLIA                     AV,34.2103,-118.3823,Theft,Property Crime,Non-Violent Crimes,0.9907345
1265886,2016-04-25,2016-04-25,Hollywood,24,F,B,1700    VINE                         ST,34.1016,-118.3267,Battery Crime,Bodily Harm,Violent Crimes,0.990773659
1266125,2016-03-05,2016-03-04,West Valley,37,F,B,6800    CORBIN                       AV,34.1938,-118.5623,Theft,Property Crime,Non-Violent Crimes,0.997812323
1266300,2016-01-31,2016-01-31,Rampart,10,M,H,800 N  HOOVER                       ST,34.0851,-118.2881,Theft,Property Crime,Non-Violent Crimes,0.997866934
1266653,2016-05-17,2016-05-17,Hollenbeck,25,M,H,STATE,34.0492,-118.2157,Assault,Bodily Harm,Violent Crimes,0.991913756
1266755,2016-10-16,2016-10-16,Southwest,59,F,A,3500    TROUSDALE                    PY,34.0215,-118.2868,Battery Crime,Bodily Harm,Violent Crimes,0.993631327
1266779,2016-03-13,2016-03-13,Olympic,19,M,H,WASHINGTON                   BL,34.04,-118.2951,Robbery,Robbery,Violent Crimes,0.99496704
1266928,2016-05-22,2016-05-21,Olympic,21,F,W,1200    MAGNOLIA                     AV,34.0491,-118.2865,Theft,Property Crime,Non-Violent Crimes,0.994397266
1267222,2016-11-16,2016-11-16,West LA,17,F,W,2900 S  ROBERTSON                    BL,34.0349,-118.3893,Theft,Property Crime,Non-Violent Crimes,0.993058008
1267385,2016-10-19,2016-10-19,West Valley,36,M,H,19100    ENADIA                       WY,34.2002,-118.5492,Theft,Property Crime,Non-Violent Crimes,0.994515132
1267387,2016-10-13,2016-10-12,Devonshire,18,M,H,9200    RESEDA                       BL,34.2373,-118.5361,Theft,Property Crime,Non-Violent Crimes,0.991030931
1267630,2016-05-06,2016-05-05,Wilshire,25,F,H,3500 W  17TH                         ST,34.0418,-118.3225,Theft,Property Crime,Non-Violent Crimes,0.995372025
1267944,2016-02-23,2016-02-23,Hollywood,17,F,B,1700    TAFT                         AV,34.1017,-118.3147,Battery Crime,Bodily Harm,Violent Crimes,0.995763166
1267979,2016-09-26,2016-09-26,Pacific,31,M,H,3700    GLOBE                        AV,34.014,-118.4205,Battery Crime,Bodily Harm,Violent Crimes,0.997681696
1268224,2016-07-15,2016-07-14,Wilshire,53,M,W,HORNER,34.0494,-118.3735,Theft,Property Crime,Non-Violent Crimes,0.999626616
1268536,2016-04-17,2016-04-17,N Hollywood,82,F,O,10900    MAGNOLIA                     BL,34.1667,-118.3702,Theft,Property Crime,Non-Violent Crimes,0.990491631
1269083,2016-09-13,2016-09-13,Mission,21,F,O,PARTHENIA,34.2283,-118.4677,Assault,Bodily Harm,Violent Crimes,0.996887421
1269436,2016-03-26,2016-03-26,Hollywood,29,M,W,6100    LEXINGTON                    AV,34.0926,-118.3223,Assault,Bodily Harm,Violent Crimes,0.990691353
1269912,2016-08-02,2016-06-27,West LA,57,M,H,10500    ROUNTREE                     RD,34.0408,-118.4179,Fraud,White Collar Crime,Non-Violent Crimes,0.999818708
1270197,2016-01-18,2016-01-18,Southwest,28,F,B,3700 S  NORMANDIE                    AV,34.021,-118.3002,Theft,Property Crime,Non-Violent Crimes,0.99494472
1270265,2016-06-26,2016-06-26,Central,30,M,H,500 S  SPRING                       ST,34.0467,-118.252,Assault,Bodily Harm,Violent Crimes,0.998233337
1270352,2016-08-24,2016-08-23,Southwest,38,F,B,3900 S  NORMANDIE                    AV,34.0145,-118.3045,Assault,Bodily Harm,Violent Crimes,0.998754427
1270550,2016-12-11,2016-12-11,Newton,32,F,B,900 E  SLAUSON                      AV,33.9893,-118.2593,Theft,Property Crime,Non-Violent Crimes,0.998793699
1270749,2016-02-22,2016-02-22,Hollywood,21,M,B,HOLLYWOOD                    BL,34.1017,-118.3123,Assault,Bodily Harm,Violent Crimes,0.996363618
1271593,2016-12-27,2016-12-26,77th Street,31,M,B,6400    BRYNHURST                    AV,33.9817,-118.3338,Assault,Bodily Harm,Violent Crimes,0.996409604
1271613,2016-09-12,2016-09-12,Central,35,M,H,3RD                          ST,34.0517,-118.2491,Battery Crime,Bodily Harm,Violent Crimes,0.990166879
1271936,2016-12-04,2016-12-04,Devonshire,41,F,H,DEVONSHIRE                   ST,34.2575,-118.5023,Theft,Property Crime,Non-Violent Crimes,0.999042133
1272061,2016-02-19,2016-02-18,Devonshire,57,M,W,11200    COLLETT                      AV,34.2742,-118.4836,Theft,Property Crime,Non-Violent Crimes,0.994436894
1272449,2016-03-01,2016-03-01,77th Street,66,M,B,84TH,33.9661,-118.2849,Battery Crime,Bodily Harm,Violent Crimes,0.998672436
1273105,2016-07-29,2016-07-28,N Hollywood,45,F,B,4000    VINELAND                     AV,34.1405,-118.3702,Theft,Property Crime,Non-Violent Crimes,0.994671821
1273115,2016-01-10,2016-01-10,Olympic,41,F,H,100 S  WESTERN                      AV,34.0731,-118.3091,Theft,Property Crime,Non-Violent Crimes,0.998238084
1273142,2016-12-10,2016-12-09,Van Nuys,44,F,H,15100    MORRISON                     ST,34.1604,-118.4618,Theft,Property Crime,Non-Violent Crimes,0.994119807
1273177,2016-12-02,2016-12-01,Pacific,27,M,W,13400    MAXELLA                      AV,33.9873,-118.4403,Robbery,Robbery,Violent Crimes,0.996461114
1273190,2016-04-26,2016-02-20,N Hollywood,31,M,H,11400    VANOWEN                      ST,34.194,-118.379,Theft,Property Crime,Non-Violent Crimes,0.992848376
1273565,2016-09-09,2016-09-09,N Hollywood,17,M,H,6800    MORELLA                      AV,34.194,-118.39,Assault,Bodily Harm,Violent Crimes,0.998447455
1273762,2016-03-24,2016-03-24,Devonshire,73,M,O,17400    DORIC                        ST,34.3062,-118.514,Theft,Property Crime,Non-Violent Crimes,0.991709498
1273811,2016-05-19,2016-05-17,Pacific,43,M,A,BROOKS,33.9916,-118.4754,Assault,Bodily Harm,Violent Crimes,0.994763033
1273876,2017-04-17,2016-04-14,Wilshire,41,M,O,1500    CRENSHAW                     BL,34.0468,-118.3305,Theft,Property Crime,Non-Violent Crimes,0.992030971
1274000,2016-06-24,2016-06-17,Central,52,M,H,500    WALL                         ST,34.0449,-118.2458,Theft,Property Crime,Non-Violent Crimes,0.999472843
1274165,2016-10-30,2016-10-30,Central,25,F,B,6TH,34.0481,-118.2542,Assault,Bodily Harm,Violent Crimes,0.993739452
1274205,2016-11-09,2016-11-09,77th Street,57,M,O,5800 S  FIGUEROA                     ST,33.9838,-118.2827,Theft,Property Crime,Non-Violent Crimes,0.995399032
1274284,2016-04-30,2016-04-28,N Hollywood,26,M,O,11600    ERWIN                        ST,34.1831,-118.3846,Theft,Property Crime,Non-Violent Crimes,0.990768396
1274557,2016-08-16,2016-08-04,Newton,33,M,C,100 W  36TH                         PL,34.016,-118.2743,Theft,Property Crime,Non-Violent Crimes,0.990361255
1274765,2016-10-25,2016-10-24,Mission,50,F,A,15100    PARTHENIA                    ST,34.2283,-118.4611,Assault,Bodily Harm,Violent Crimes,0.99849997
1274842,2016-10-22,2016-10-22,Foothill,37,F,H,11100    STRATHERN                    ST,34.2157,-118.3725,Assault,Bodily Harm,Violent Crimes,0.990574473
1274980,2016-04-02,2016-04-02,West Valley,55,F,B,5900    LINDLEY                      AV,34.1776,-118.5273,Battery Crime,Bodily Harm,Violent Crimes,0.993285343
1275210,2016-08-26,2016-08-26,Northeast,66,F,H,FIGUEROA,34.1141,-118.1861,Battery Crime,Bodily Harm,Violent Crimes,0.996539355
1275376,2016-08-14,2016-08-14,West Valley,56,M,H,18200    GAULT                        ST,34.1993,-118.5295,Theft,Property Crime,Non-Violent Crimes,0.992854723
1275480,2016-08-08,2016-08-08,Central,22,F,O,300 S  ALAMEDA                      ST,34.0468,-118.2415,Theft,Property Crime,Non-Violent Crimes,0.995409605
