ID,Date Reported,Date Occured,Area Name,Victim Age,Victim Sex,Victim Descent,Location,Latitude,Longitude,Criminal Activities,Criminal Activities grped,Criminal Activities re-grped,
732461,14/02/2013,2013-02-13,West LA,29,F,O,2200    FOX HILLS                    DR,34.0523,-118.4162,Theft,Property Crime,Non-Violent Crimes,0.996632219
732653,29/04/2013,2013-04-22,Mission,47,M,F,14600    TUNDRA                       DR,34.2944,-118.451,Theft,Property Crime,Non-Violent Crimes,0.995400144
732656,13/08/2013,2013-08-13,N Hollywood,60,F,W,8000    LLOYD                        AV,34.2159,-118.4207,Theft,Property Crime,Non-Violent Crimes,0.999849272
732888,08/12/2013,2013-12-06,Van Nuys,42,M,W,14600    SUTTON                       ST,34.1477,-118.453,Theft,Property Crime,Non-Violent Crimes,0.99693966
733047,03/01/2014,2013-12-25,Central,67,F,W,800 S  FLOWER                       ST,34.0473,-118.2601,Theft,Property Crime,Non-Violent Crimes,0.992474371
733332,26/09/2013,2013-09-20,Harbor,52,F,W,700 W  26TH                         ST,33.7206,-118.2938,Theft,Property Crime,Non-Violent Crimes,0.994200529
733375,12/02/2013,2013-01-18,Van Nuys,7,M,H,6700    VAN NUYS                     BL,34.1925,-118.4487,Battery Crime,Bodily Harm,Violent Crimes,0.996653537
733555,20/10/2013,2013-10-17,77th Street,41,F,B,1200 W  81ST                         ST,33.9658,-118.2959,Theft,Property Crime,Non-Violent Crimes,0.990774777
733985,05/10/2013,2013-10-05,77th Street,13,M,B,84TH                         PL,33.9624,-118.2783,Assault,Bodily Harm,Violent Crimes,0.998150812
734332,17/08/2013,2013-05-10,Southeast,3,M,H,10700    GORMAN                       AV,33.9389,-118.2307,Assault,Bodily Harm,Violent Crimes,0.99819176
734560,29/09/2013,2013-09-28,77th Street,17,F,H,94TH                         ST,33.9511,-118.309,Robbery,Robbery,Violent Crimes,0.992314178
734614,30/12/2013,2013-12-29,Pacific,47,M,W,200    HORIZON                      AV,33.9894,-118.4721,Theft,Property Crime,Non-Violent Crimes,0.990572878
734618,14/09/2013,2013-09-14,Hollywood,31,F,H,1500 N  BRONSON                      AV,34.0981,-118.318,Rape,Rape,Violent Crimes,0.992813345
735069,06/08/2013,2013-08-06,Harbor,54,F,W,1600 S  PATTON                       AV,33.7298,-118.3056,Theft,Property Crime,Non-Violent Crimes,0.994985696
735255,07/08/2013,2013-08-07,Newton,45,F,B,BROADWAY,33.9824,-118.2783,Battery Crime,Bodily Harm,Violent Crimes,0.999255433
735774,19/07/2013,2013-07-17,Van Nuys,49,M,W,4400    WOODMAN                      AV,34.1504,-118.4312,Theft,Property Crime,Non-Violent Crimes,0.992248866
735983,22/11/2013,2013-11-22,Southeast,35,F,B,200 E  120TH                        ST,33.9237,-118.2717,Assault,Bodily Harm,Violent Crimes,0.990986047
736212,25/04/2013,2013-02-28,West LA,57,F,W,8800 W  PICO                         BL,34.0548,-118.3837,Battery Crime,Bodily Harm,Violent Crimes,0.996539215
736277,09/09/2013,2013-09-08,Northeast,61,M,W,700    SUNNYHILL                    DR,34.1067,-118.2114,Theft,Property Crime,Non-Violent Crimes,0.995780637
736280,03/08/2013,2013-08-03,Mission,26,F,H,8900    COLUMBUS                     AV,34.2319,-118.4654,Battery Crime,Bodily Harm,Violent Crimes,0.990616905
736284,05/04/2013,2013-04-05,Rampart,20,M,B,LAFAYETTE PARK               PL,34.0632,-118.2831,Robbery,Robbery,Violent Crimes,0.991245019
736309,05/08/2013,2013-07-31,Central,50,F,B,6TH,34.0435,-118.2471,Theft,Property Crime,Non-Violent Crimes,0.992553026
736943,07/11/2013,2013-11-06,Mission,46,M,W,10400 N  SEPULVEDA                    BL,34.2591,-118.4674,Theft,Property Crime,Non-Violent Crimes,0.993580258
737246,25/07/2013,2013-07-15,Wilshire,44,F,W,6200 W  6TH                          ST,34.0651,-118.3632,Theft,Property Crime,Non-Violent Crimes,0.991116553
737297,07/01/2013,2013-01-06,Southeast,64,F,B,2300    SANTA ANA                    BL,33.9346,-118.2317,Theft,Property Crime,Non-Violent Crimes,0.992914116
737780,02/05/2013,2013-04-26,Olympic,13,M,H,1100 S  BERENDO                      ST,34.0509,-118.2937,Theft,Property Crime,Non-Violent Crimes,0.996581175
737870,21/01/2013,2013-01-21,Hollywood,19,F,H,5300    LEXINGTON                    AV,34.093,-118.3046,Battery Crime,Bodily Harm,Violent Crimes,0.991933792
738353,22/08/2013,2013-08-22,Wilshire,53,F,H,2200 S  CLOVERDALE                   AV,34.0381,-118.3551,Theft,Property Crime,Non-Violent Crimes,0.999906142
738440,30/03/2013,2013-03-28,Southeast,65,M,H,200 W  COLDEN                       AV,33.9492,-118.2766,Theft,Property Crime,Non-Violent Crimes,0.996406917
738561,21/11/2013,2013-11-21,Devonshire,59,F,W,18400    SINGING HILLS                DR,34.2772,-118.5535,Theft,Property Crime,Non-Violent Crimes,0.990981922
738664,09/11/2013,2013-11-09,Newton,21,F,B,3800 S  GRAND                        AV,34.0152,-118.2793,Battery Crime,Bodily Harm,Violent Crimes,0.997191726
738758,13/06/2013,2013-06-13,Hollenbeck,29,F,H,2400    FOLSOM                       ST,34.0486,-118.2066,Assault,Bodily Harm,Violent Crimes,0.999652929
738827,10/04/2013,2013-02-14,Olympic,32,F,H,300 S  VERMONT                      AV,34.0691,-118.2917,Fraud,White Collar Crime,Non-Violent Crimes,0.992302597
739044,31/12/2013,2013-12-28,Hollenbeck,42,F,H,HILLSIDE,34.0887,-118.1785,Theft,Property Crime,Non-Violent Crimes,0.99562436
739056,28/12/2013,2013-12-28,Southwest,35,M,H,3600 W  MARTIN LUTHER KING JR        BL,34.011,-118.3351,Theft,Property Crime,Non-Violent Crimes,0.9997669
739327,16/08/2013,2013-08-16,West Valley,44,M,B,7300    HASKELL                      AV,34.203,-118.4749,Theft,Property Crime,Non-Violent Crimes,0.996260949
739406,07/03/2013,2013-03-07,Southeast,31,F,B,10800    AVALON                       BL,33.9383,-118.2652,Assault,Bodily Harm,Violent Crimes,0.994432346
739449,17/05/2013,2013-05-17,Central,30,F,B,700 W  7TH                          ST,34.048,-118.2577,Theft,Property Crime,Non-Violent Crimes,0.991300731
739611,21/08/2015,2013-01-01,Foothill,56,F,H,11500    WELK                         AV,34.2795,-118.4135,Theft,Property Crime,Non-Violent Crimes,0.991614879
739668,29/07/2013,2013-07-08,Topanga,51,M,W,5700    RUDNICK                      AV,34.1738,-118.6123,Theft,Property Crime,Non-Violent Crimes,0.994989079
739784,21/11/2013,2013-11-20,Foothill,24,M,H,13800    MERCER                       ST,34.2603,-118.4337,Theft,Property Crime,Non-Violent Crimes,0.997839189
739851,25/02/2013,2013-02-14,West LA,29,M,W,14300    MULHOLLAND                   DR,34.1306,-118.4428,Theft,Property Crime,Non-Violent Crimes,0.994905834
739973,08/10/2013,2013-10-07,Foothill,35,M,I,13400    VAN NUYS                     BL,34.2643,-118.4246,Theft,Property Crime,Non-Violent Crimes,0.994629467
739980,18/05/2013,2013-05-18,Central,55,M,B,4TH,34.0503,-118.2506,Theft,Property Crime,Non-Violent Crimes,0.99842483
740097,19/03/2013,2013-03-18,Mission,34,F,O,13500    OSBORNE                      ST,34.241,-118.4276,Theft,Property Crime,Non-Violent Crimes,0.99827837
740108,26/07/2013,2013-07-26,Central,36,F,B,500 S  LOS ANGELES                  ST,34.0461,-118.2476,Battery Crime,Bodily Harm,Violent Crimes,0.994174826
740228,21/06/2013,2013-02-15,West LA,32,M,W,1400    AMHERST                      AV,34.0412,-118.4657,Theft,Property Crime,Non-Violent Crimes,0.998081056
740309,30/07/2013,2013-07-30,77th Street,19,F,B,VERMONT,34.0017,-118.2915,Robbery,Robbery,Violent Crimes,0.999927991
740341,09/03/2013,2013-03-09,Rampart,19,F,H,200 N  BELMONT                      AV,34.0646,-118.263,Assault,Bodily Harm,Violent Crimes,0.997721027
740694,21/07/2013,2013-07-01,Devonshire,30,M,O,11600    DORAL                        AV,34.282,-118.55,Theft,Property Crime,Non-Violent Crimes,0.999261285
740778,03/10/2013,2013-10-01,Devonshire,61,F,W,9500    RUDNICK                      AV,34.2427,-118.6125,Theft,Property Crime,Non-Violent Crimes,0.992472167
741105,26/04/2013,2013-04-21,Southwest,30,F,W,1600 W  23RD                         ST,34.0355,-118.2975,Theft,Property Crime,Non-Violent Crimes,0.999076251
741217,17/12/2013,2013-12-11,Mission,50,F,H,15000    PARTHENIA                    ST,34.2282,-118.4592,Theft,Property Crime,Non-Violent Crimes,0.994188713
741302,28/06/2013,2013-06-28,Southwest,50,F,B,800 W  MARTIN LUTHER KING JR        BL,34.0111,-118.2872,Theft,Property Crime,Non-Violent Crimes,0.993508261
741703,20/08/2013,2013-08-19,West Valley,35,M,H,19300    VICTORY                      BL,34.1866,-118.5535,Battery Crime,Bodily Harm,Violent Crimes,0.994164802
741752,28/02/2013,2013-02-28,Topanga,61,F,W,21700    MARYLEE                      ST,34.1753,-118.6015,Theft,Property Crime,Non-Violent Crimes,0.997625509
741938,15/05/2013,2013-05-14,77th Street,21,M,B,3400 W  SLAUSON                      AV,33.989,-118.3308,Assault,Bodily Harm,Violent Crimes,0.99829024
741979,30/12/2013,2013-12-30,Pacific,32,M,O,6000    CENTER                       DR,33.9759,-118.3897,Theft,Property Crime,Non-Violent Crimes,0.994733728
742000,11/03/2013,2013-03-10,Van Nuys,21,M,H,5800    HAZELTINE                    AV,34.1758,-118.44,Theft,Property Crime,Non-Violent Crimes,0.993893888
742160,05/09/2013,2013-09-05,Wilshire,41,M,W,8300    BEVERLY                      BL,34.0761,-118.37,Theft,Property Crime,Non-Violent Crimes,0.998989313
742345,16/12/2013,2013-12-15,Foothill,60,F,O,10100    HILLHAVEN                    AV,34.2523,-118.2898,Battery Crime,Bodily Harm,Violent Crimes,0.997614069
742413,11/04/2013,2013-04-10,Wilshire,43,F,H,2000    8TH                          AV,34.0387,-118.326,Theft,Property Crime,Non-Violent Crimes,0.991213259
742525,16/06/2013,2013-06-14,Mission,41,F,H,13300    CALCUTTA                     ST,34.313,-118.4221,Theft,Property Crime,Non-Violent Crimes,0.991352923
742825,31/12/2013,2013-12-31,Devonshire,38,M,O,16900    SAN FERNANDO MISSION         BL,34.272,-118.4994,Theft,Property Crime,Non-Violent Crimes,0.990139929
743040,18/07/2013,2013-07-18,Wilshire,29,M,W,8500    BEVERLY                      BL,34.0761,-118.3766,Fraud,White Collar Crime,Non-Violent Crimes,0.990257837
743289,24/05/2013,2013-05-18,West Valley,48,M,O,4100    CLEAR VALLEY                 DR,34.146,-118.4853,Theft,Property Crime,Non-Violent Crimes,0.992985938
743344,10/06/2013,2013-06-07,West LA,60,M,W,10900    WILSHIRE                     BL,34.0588,-118.4439,Theft,Property Crime,Non-Violent Crimes,0.999859213
