ID,Date Reported,Date Occured,Area Name,Victim Age,Victim Sex,Victim Descent,Location,Latitude,Longitude,Criminal Activities,Criminal Activities grped,Criminal Activities re-grped,
454452,18/03/2012,18/03/2012,Northeast,13,F,H,CYPRESS,34.0864,-118.219,Battery Crime,Bodily Harm,Violent Crimes,0.999121321
455993,08/03/2012,08/03/2012,West LA,64,F,W,1200 N  BUNDY                        DR,34.0808,-118.4829,Theft,Property Crime,Non-Violent Crimes,0.999466762
456949,16/02/2012,16/02/2012,Newton,25,M,O,18TH                         ST,34.0277,-118.2549,Theft,Property Crime,Non-Violent Crimes,0.999278093
457244,19/01/2012,19/01/2012,Olympic,22,F,H,4TH                          ST,34.0674,-118.2916,Theft,Property Crime,Non-Violent Crimes,0.999874141
457464,23/10/2012,07/10/2012,Van Nuys,28,M,W,4700    FULTON                       AV,34.1558,-118.4225,Theft,Property Crime,Non-Violent Crimes,0.999638562
458286,06/08/2012,05/08/2012,Southeast,71,M,B,9100 S  FIGUEROA                     ST,33.9543,-118.2827,Battery Crime,Bodily Harm,Violent Crimes,0.999807535
459192,11/03/2012,11/03/2012,Northeast,26,F,W,3700    MONON                        ST,34.1097,-118.2739,Theft,Property Crime,Non-Violent Crimes,0.999420982
459386,11/06/2012,10/06/2012,Hollywood,25,M,W,1500    VINE                         ST,34.098,-118.3267,Theft,Property Crime,Non-Violent Crimes,0.999690062
459973,06/12/2012,05/12/2012,Southeast,41,F,H,11300    CROESUS                      AV,33.9325,-118.2335,Theft,Property Crime,Non-Violent Crimes,0.999831473
461767,30/12/2012,30/11/2012,Van Nuys,25,M,W,15300    HATTERAS                     ST,34.1758,-118.4662,Theft,Property Crime,Non-Violent Crimes,0.999921418
462171,04/05/2012,03/05/2012,Southwest,64,F,B,1900 W  43RD                         ST,34.0055,-118.3138,Battery Crime,Bodily Harm,Violent Crimes,0.999712631
462734,21/11/2012,17/11/2012,Mission,63,M,H,9500    DORRINGTON                   AV,34.2444,-118.4452,Theft,Property Crime,Non-Violent Crimes,0.999806102
462890,14/07/2012,13/07/2012,Foothill,46,F,H,VAN NUYS                     BL,34.2725,-118.4133,Robbery,Robbery,Violent Crimes,0.999037835
464026,05/09/2012,05/09/2012,Topanga,48,F,W,CANOGA,34.2083,-118.5975,Battery Crime,Bodily Harm,Violent Crimes,0.999008042
465122,04/06/2012,01/06/2012,Van Nuys,58,F,W,13900    VENTURA                      BL,34.1489,-118.4363,Theft,Property Crime,Non-Violent Crimes,0.999472453
466047,13/06/2012,13/06/2012,Rampart,74,F,H,UNION                        AV,34.043,-118.2779,Robbery,Robbery,Violent Crimes,0.999923004
466058,28/03/2012,28/03/2012,Rampart,41,F,B,200 S  LAKE                         ST,34.0663,-118.2719,Theft,Property Crime,Non-Violent Crimes,0.999222763
469231,30/05/2012,29/05/2012,Van Nuys,40,M,O,7000    WOODMAN                      AV,34.1976,-118.4312,Theft,Property Crime,Non-Violent Crimes,0.999324109
469759,10/04/2012,10/04/2012,Topanga,45,F,W,22100    CLARENDON                    ST,34.1697,-118.608,Theft,Property Crime,Non-Violent Crimes,0.999801239
469861,22/09/2012,22/09/2012,Mission,50,F,W,8700    WOODMAN                      AV,34.228,-118.4344,Assault,Bodily Harm,Violent Crimes,0.999860216
470385,09/11/2012,22/10/2012,Central,46,F,O,500 S  ALAMEDA                      ST,34.0414,-118.2382,Theft,Property Crime,Non-Violent Crimes,0.999637716
473099,23/05/2012,19/05/2012,Southwest,45,M,H,800 W  WASHINGTON                   BL,34.0361,-118.2757,Theft,Property Crime,Non-Violent Crimes,0.999277851
473965,07/09/2012,18/03/2012,Northeast,35,F,H,3200    DREW                         ST,34.1186,-118.245,Assault,Bodily Harm,Violent Crimes,0.999078005
475797,22/07/2012,22/07/2012,Southwest,27,M,H,4000    STEVELY                      AV,34.015,-118.3536,Battery Crime,Bodily Harm,Violent Crimes,0.999963976
476968,21/05/2012,01/05/2012,Newton,44,M,H,600 E  42ND                         ST,34.0076,-118.2653,Theft,Property Crime,Non-Violent Crimes,0.999431976
478809,23/01/2012,21/01/2012,Van Nuys,39,M,W,14800    BESSEMER                     ST,34.1808,-118.4553,Theft,Property Crime,Non-Violent Crimes,0.999810217
479854,25/04/2012,25/04/2012,Foothill,7,F,H,11000    ARMINTA                      ST,34.2139,-118.3703,Assault,Bodily Harm,Violent Crimes,0.999552482
